common_name,introduced,log_10_mass,resident,max_color_contrast,popularity,commonness
Sagebrush Sparrow,False,1.23,False,50,-0.224006836400644,0.196246914025734
Tufted Puffin,False,2.889301703,False,69.5,0.370742780033004,0.191905500777319
Florida Scrub-jay,False,1.89,True,90,0.668242445049785,0.189800573141724
Red-cockaded Woodpecker,False,1.67,True,100,1.02724281916548,0.189142783255601
California Gnatcatcher,False,0.72,True,52.5,0.142216675935649,0.183166292290251
Sabine's Gull,False,2.278753601,False,69,-1.04800308398421,0.179388698944228
King Eider,False,3.21,False,85,0.564848050773212,0.17615613150385
Brown Booby,False,3.11,True,45,0.343290907925261,0.166777927127405
Whooping Crane,False,3.77,False,90,1.67941217841068,0.164823351465781
Omao,False,1.698970004,True,10,-0.900306732237387,0.164691793488556
Red-whiskered Bulbul,True,1.447158031,True,75,-0.029860220820555,0.162323749898512
Sooty Grouse,False,3.079181246,True,60,-0.121979633554101,0.157850778672873
Short-tailed Hawk,False,2.71,False,80,-0.213681325696944,0.155914997007995
Snail Kite,False,2.57,True,50,0.548703556477887,0.155727057040531
Red-vented Bulbul,True,1.653212514,True,30,-0.198199692632607,0.154749769209719
Cassin's Auklet,False,2.27,False,69.5,-0.890969343072846,0.146142118699876
Iiwi,False,1.255272505,True,100,0.413253190209128,0.145540710803992
Varied Bunting,False,1.096910013,False,80,-0.814275213409329,0.145296388846289
Sharp-tailed Grouse,False,2.95,True,40,0.793933138811786,0.144243925028491
Black-backed Woodpecker,False,1.86,True,95,0.037190359305075,0.142834375272512
White-crowned Pigeon,False,2.38,True,30,-0.5250765157046,0.141894675435193
Hawaiian Coot,False,2.84509804,True,65,-0.620079570352718,0.140710653640171
Connecticut Warbler,False,1.176091259,False,60,-0.157928617138321,0.139188339903714
Groove-billed Ani,False,1.91,False,45,-0.393775533356894,0.139075575923236
Hoary Redpoll,False,1.18,False,60,-0.477035893772419,0.137045824274626
Long-tailed Jaeger,False,2.477121255,False,55,-0.551022935031069,0.135166424599988
Gray Partridge,True,2.61,True,40,0.885499862447519,0.132253355104299
Indian Peafowl,True,3.653212514,True,90,1.78056365295242,0.128532143748515
Golden-cheeked Warbler,False,1,False,80,0.595722968724613,0.127930735852631
Common Black Hawk,False,2.84509804,False,75,0.465607231048307,0.12710379999579
Horned Puffin,False,2.720159303,False,70,0.104498855815402,0.126464804106413
